SF	nNodes	Interval	PDR	nUnderSens	nInterf	nNoRecv
5	10	10	1	0	0	0
5	10	20	1	0	0	0
5	10	30	1	0	0	0
5	10	60	1	0	0	0
5	10	100	1	0	0	0
5	20	10	1	0	0	0
5	20	20	1	0	0	0
5	20	30	1	0	0	0
5	20	60	1	0	0	0
5	20	100	1	0	0	0
5	30	10	0.924833	0	134	1
5	30	20	0.933259	0	60	0
5	30	30	0.971619	0	17	0
5	30	60	1	0	0	0
5	30	100	1	0	0	0
5	50	10	0.89153	0	324	0
5	50	20	0.941689	0	87	0
5	50	30	0.959718	0	40	0
5	50	60	0.987952	0	6	0
5	50	100	0.983278	0	5	0
5	100	10	0.812302	0	1091	32
5	100	20	0.899666	0	292	8
5	100	30	0.92678	0	144	2
5	100	60	0.956871	0	43	0
5	100	100	0.973199	0	16	0
5	150	10	0.727141	0	2357	90
5	150	20	0.853925	0	647	8
5	150	30	0.908331	0	274	0
5	150	60	0.959225	0	61	0
5	150	100	0.964326	0	32	0
5	200	10	0.667754	0	3782	192
5	200	20	0.787159	0	1241	32
5	200	30	0.831117	0	658	15
5	200	60	0.90005	0	197	2
5	200	100	0.927913	0	86	0
5	250	10	0.605698	0	5598	298
5	250	20	0.771463	0	1673	36
5	250	30	0.829322	0	841	10
5	250	60	0.928485	0	178	0
5	250	100	0.965795	0	51	0
5	300	10	0.541929	0	7689	532
5	300	20	0.738408	0	2287	60
5	300	30	0.822664	0	1044	17
5	300	60	0.913436	0	257	2
5	300	100	0.932109	0	121	1
