SF,nNodes,Gateways,Interval,PDR,nUnderSens,nInterf,nNoRecv
0,10,3,10,0.7,0,77,6
0,10,5,10,0.94,0,118,10
0,10,7,10,0.94,0,161,14
0,10,10,10,0.94,0,223,20
0,10,3,20,0.84,0,37,0
0,10,5,20,0.98,0,57,0
0,10,7,20,0.98,0,76,0
0,10,10,20,1,0,105,0
0,10,3,30,0.9,0,18,3
0,10,5,30,0.975,0,29,5
0,10,7,30,0.975,0,40,7
0,10,10,30,0.975,0,56,10
0,20,3,10,0.53,0,175,24
0,20,5,10,0.62,0,303,40
0,20,7,10,0.67,0,420,56
0,20,10,10,0.8,0,596,80
0,20,3,20,0.55,0,156,9
0,20,5,20,0.69,0,258,15
0,20,7,20,0.76,0,354,21
0,20,10,20,0.9,0,490,30
0,20,3,30,0.7,0,84,0
0,20,5,30,0.8375,0,130,0
0,20,7,30,0.85,0,181,0
0,20,10,30,0.9375,0,250,0
0,30,3,10,0.46,0,283,48
0,30,5,10,0.573333,0,467,80
0,30,7,10,0.58,0,659,112
0,30,10,10,0.7,0,937,160
0,30,3,20,0.626667,0,202,21
0,30,5,20,0.693333,0,343,35
0,30,7,20,0.72,0,470,49
0,30,10,20,0.78,0,670,70
0,30,3,30,0.733333,0,148,0
0,30,5,30,0.808333,0,243,0
0,30,7,30,0.833333,0,340,0
0,30,10,30,0.891667,0,484,0
0,50,3,10,0.284,0,449,201
0,50,5,10,0.384,0,742,335
0,50,7,10,0.416,0,1032,469
0,50,10,10,0.512,0,1477,670
0,50,3,20,0.56,0,404,75
0,50,5,20,0.676,0,674,125
0,50,7,20,0.712,0,937,175
0,50,10,20,0.784,0,1338,250
0,50,3,30,0.69,0,282,24
0,50,5,30,0.81,0,467,40
0,50,7,30,0.825,0,637,56
0,50,10,30,0.9,0,912,80
0,100,3,10,0.096,0,682,765
0,100,5,10,0.136,0,1145,1275
0,100,7,10,0.18,0,1604,1785
0,100,10,10,0.254,0,2281,2550
0,100,3,20,0.224,0,921,414
0,100,5,20,0.372,0,1509,690
0,100,7,20,0.466,0,2086,966
0,100,10,20,0.554,0,2985,1380
0,100,3,30,0.39,0,774,168
0,100,5,30,0.5525,0,1288,280
0,100,7,30,0.6475,0,1791,392
0,100,10,30,0.71,0,2550,560
0,150,3,10,0.048,0,770,1443
0,150,5,10,0.088,0,1269,2405
0,150,7,10,0.0946667,0,1778,3367
0,150,10,10,0.110667,0,2553,4810
0,150,3,20,0.137333,0,1158,969
0,150,5,20,0.2,0,1901,1615
0,150,7,20,0.206667,0,2671,2261
0,150,10,20,0.266667,0,3814,3230
0,150,3,30,0.275,0,1070,507
0,150,5,30,0.361667,0,1755,845
0,150,7,30,0.365,0,2446,1183
0,150,10,30,0.44,0,3526,1690
0,200,3,10,0.022,0,821,2157
0,200,5,10,0.034,0,1368,3595
0,200,7,10,0.044,0,1915,5033
0,200,10,10,0.079,0,2717,7190
0,200,3,20,0.1,0,1332,1560
0,200,5,20,0.162,0,2210,2600
0,200,7,20,0.175,0,3085,3640
0,200,10,20,0.229,0,4417,5200
0,200,3,30,0.19125,0,1294,915
0,200,5,30,0.29875,0,2136,1525
0,200,7,30,0.30875,0,2999,2135
0,200,10,30,0.39375,0,4285,3050
0,250,3,10,0.0232,0,835,2886
0,250,5,10,0.0272,0,1404,4810
0,250,7,10,0.0336,0,1971,6734
0,250,10,10,0.0496,0,2806,9620
0,250,3,20,0.06,0,1445,2226
0,250,5,20,0.0696,0,2431,3710
0,250,7,20,0.1056,0,3394,5194
0,250,10,20,0.1384,0,4819,7420
0,250,3,30,0.111,0,1468,1389
0,250,5,30,0.128,0,2472,2315
0,250,7,30,0.183,0,3463,3241
0,250,10,30,0.234,0,4927,4630
0,300,3,10,0.0113333,0,847,3636
0,300,5,10,0.0166667,0,1415,6060
0,300,7,10,0.0193333,0,1986,8484
0,300,10,10,0.0313333,0,2831,12120
0,300,3,20,0.0453333,0,1525,2907
0,300,5,20,0.0746667,0,2542,4845
0,300,7,20,0.0826667,0,3563,6783
0,300,10,20,0.113333,0,5090,9690
0,300,3,30,0.0941667,0,1567,1911
0,300,5,30,0.144167,0,2616,3185
0,300,7,30,0.166667,0,3668,4459
0,300,10,30,0.214167,0,5239,6370
