DataMode,Dist,InRange
VhtMcs0,100.000000,1
VhtMcs0,150.000000,1
VhtMcs0,200.000000,1
VhtMcs0,250.000000,1
VhtMcs0,300.000000,1
VhtMcs0,350.000000,1
VhtMcs0,400.000000,1
VhtMcs0,450.000000,1
VhtMcs0,500.000000,1
VhtMcs0,550.000000,0
VhtMcs0,600.000000,0
VhtMcs0,650.000000,0
VhtMcs0,700.000000,0
VhtMcs0,750.000000,0
VhtMcs0,800.000000,0
VhtMcs0,850.000000,0
VhtMcs0,900.000000,0
VhtMcs0,950.000000,0
VhtMcs0,1000.000000,0
VhtMcs1,100.000000,1
VhtMcs1,150.000000,1
VhtMcs1,200.000000,1
VhtMcs1,250.000000,1
VhtMcs1,300.000000,1
VhtMcs1,350.000000,1
VhtMcs1,400.000000,0
VhtMcs1,450.000000,0
VhtMcs1,500.000000,0
VhtMcs1,550.000000,0
VhtMcs1,600.000000,0
VhtMcs1,650.000000,0
VhtMcs1,700.000000,0
VhtMcs1,750.000000,0
VhtMcs1,800.000000,0
VhtMcs1,850.000000,0
VhtMcs1,900.000000,0
VhtMcs1,950.000000,0
VhtMcs1,1000.000000,0
VhtMcs2,100.000000,1
VhtMcs2,150.000000,1
VhtMcs2,200.000000,1
VhtMcs2,250.000000,1
VhtMcs2,300.000000,0
VhtMcs2,350.000000,0
VhtMcs2,400.000000,0
VhtMcs2,450.000000,0
VhtMcs2,500.000000,0
VhtMcs2,550.000000,0
VhtMcs2,600.000000,0
VhtMcs2,650.000000,0
VhtMcs2,700.000000,0
VhtMcs2,750.000000,0
VhtMcs2,800.000000,0
VhtMcs2,850.000000,0
VhtMcs2,900.000000,0
VhtMcs2,950.000000,0
VhtMcs2,1000.000000,0
VhtMcs3,100.000000,1
VhtMcs3,150.000000,1
VhtMcs3,200.000000,0
VhtMcs3,250.000000,0
VhtMcs3,300.000000,0
VhtMcs3,350.000000,0
VhtMcs3,400.000000,0
VhtMcs3,450.000000,0
VhtMcs3,500.000000,0
VhtMcs3,550.000000,0
VhtMcs3,600.000000,0
VhtMcs3,650.000000,0
VhtMcs3,700.000000,0
VhtMcs3,750.000000,0
VhtMcs3,800.000000,0
VhtMcs3,850.000000,0
VhtMcs3,900.000000,0
VhtMcs3,950.000000,0
VhtMcs3,1000.000000,0
VhtMcs4,100.000000,1
VhtMcs4,150.000000,0
VhtMcs4,200.000000,0
VhtMcs4,250.000000,0
VhtMcs4,300.000000,0
VhtMcs4,350.000000,0
VhtMcs4,400.000000,0
VhtMcs4,450.000000,0
VhtMcs4,500.000000,0
VhtMcs4,550.000000,0
VhtMcs4,600.000000,0
VhtMcs4,650.000000,0
VhtMcs4,700.000000,0
VhtMcs4,750.000000,0
VhtMcs4,800.000000,0
VhtMcs4,850.000000,0
VhtMcs4,900.000000,0
VhtMcs4,950.000000,0
VhtMcs4,1000.000000,0
VhtMcs5,100.000000,0
VhtMcs5,150.000000,0
VhtMcs5,200.000000,0
VhtMcs5,250.000000,0
VhtMcs5,300.000000,0
VhtMcs5,350.000000,0
VhtMcs5,400.000000,0
VhtMcs5,450.000000,0
VhtMcs5,500.000000,0
VhtMcs5,550.000000,0
VhtMcs5,600.000000,0
