DataMode,Dist,InRange
ErpOfdmRate6Mbps,100.000000,1,400
ErpOfdmRate6Mbps,150.000000,1,400
ErpOfdmRate6Mbps,200.000000,1,400
ErpOfdmRate6Mbps,250.000000,1,400
ErpOfdmRate6Mbps,300.000000,1,400
ErpOfdmRate6Mbps,350.000000,1,400
ErpOfdmRate6Mbps,400.000000,1,400
ErpOfdmRate6Mbps,450.000000,1,400
ErpOfdmRate6Mbps,500.000000,1,400
ErpOfdmRate6Mbps,550.000000,1,400
ErpOfdmRate6Mbps,600.000000,1,400
ErpOfdmRate6Mbps,650.000000,1,399
ErpOfdmRate6Mbps,700.000000,1,207
ErpOfdmRate9Mbps,100.000000,1,400
ErpOfdmRate9Mbps,150.000000,1,400
ErpOfdmRate9Mbps,200.000000,1,400
ErpOfdmRate9Mbps,250.000000,1,400
ErpOfdmRate9Mbps,300.000000,1,400
ErpOfdmRate9Mbps,350.000000,1,400
ErpOfdmRate9Mbps,400.000000,1,400
ErpOfdmRate9Mbps,450.000000,1,400
ErpOfdmRate9Mbps,500.000000,1,285
ErpOfdmRate9Mbps,550.000000,1,1
ErpOfdmRate9Mbps,600.000000,0,0
ErpOfdmRate9Mbps,650.000000,0,0
ErpOfdmRate9Mbps,700.000000,0,0
ErpOfdmRate12Mbps,100.000000,1,400
ErpOfdmRate12Mbps,150.000000,1,400
ErpOfdmRate12Mbps,200.000000,1,400
ErpOfdmRate12Mbps,250.000000,1,400
ErpOfdmRate12Mbps,300.000000,1,400
ErpOfdmRate12Mbps,350.000000,1,400
ErpOfdmRate12Mbps,400.000000,1,400
ErpOfdmRate12Mbps,450.000000,1,400
ErpOfdmRate12Mbps,500.000000,1,189
ErpOfdmRate12Mbps,550.000000,0,0
ErpOfdmRate12Mbps,600.000000,0,0
ErpOfdmRate12Mbps,650.000000,0,0
ErpOfdmRate12Mbps,700.000000,0,0
